,transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,age,ageCategory,corridorID,corridorName,serviceType,direction,distance_km,seqDiff,tripDuration,dayOfWeek,peakHour,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
22,RJPK085I1K65HR,676293109036,flazz,Fathonah Saefullah,Male,1983,40,Adult,6V,Ragunan - Gelora Bung Karno,BRT,0.0,1.07,1,0.449,Monday,True,Tirtayasa,-6.239207,106.80777,12,2023-04-03 06:44:28,Masjid Agung,-6.236483,106.79845,13,2023-04-03 07:11:25,3500.0
25,BECP746A8C28NV,4968156435384914,dki,Martana Suartini,Female,2007,16,Teenager,11,Pulo Gebang - Matraman,BRT,0.0,0.64,1,0.746,Monday,True,St. Jatinegara 2,-6.215601,106.86805,13,2023-04-03 05:48:55,Jatinegara RS Premier,-6.221412,106.86807,14,2023-04-03 06:33:42,3500.0
27,MSFD430X8W13TO,4384653483539395,dki,"Cut Hana Maulana, S.H.",Female,1979,44,Adult,3B,Rusun Flamboyan - Cengkareng,BRT,0.0,1.97,4,0.876,Monday,True,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,2023-04-03 05:49:39,Mall Taman Palem 3,-6.140548,106.73011,6,2023-04-03 06:42:12,3500.0
28,MKND874X1D96HF,213155309116759,emoney,Tgk. Ilsa Farida,Male,1983,40,Adult,R1A,Pantai Maju - Kota,BRT,0.0,4.74,23,0.621,Monday,True,Pantai Maju,-6.093637,106.75068,0,2023-04-03 05:45:14,SD Diakonia 1,-6.112155,106.7893,23,2023-04-03 06:22:28,3500.0
29,LFYJ535S2I30DP,4682220924642,online,"Drs. Nadia Ramadan, S.Sos",Male,1960,63,Senior Adult,1,Blok M - Kota,BRT,0.0,1.44,2,0.584,Monday,True,Polda Metro Jaya,-6.221094,106.81028,5,2023-04-03 06:15:29,Karet Sudirman,-6.212457,106.82003,7,2023-04-03 06:50:32,3500.0
35,LKXU174O1E59EP,2247096843683316,dki,"Tgk. Aris Pradipta, M.M.",Female,2010,13,Teenager,14,Jakarta International Stadium - Senen,BRT,1.0,0.37,1,0.784,Monday,True,Jln. Kwitang Timur,-6.173788,106.85185,2,2023-04-03 06:47:20,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,2023-04-03 07:34:23,3500.0
37,WQXL397G5U61OY,639040388584,flazz,"Galang Megantara, S.Ked",Male,1989,34,Adult,JIS3,Harmoni - Jakarta International Stadium,BRT,0.0,3.36,3,0.792,Monday,True,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,2023-04-03 06:32:51,Pecenongan,-6.16771,106.82819,12,2023-04-03 07:20:21,3500.0
39,JJEK861K6E37KF,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",Male,1986,37,Adult,2,Pulo Gadung - Monas,BRT,0.0,3.91,10,0.571,Monday,True,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 05:28:22,Monas,-6.176248,106.82286,19,2023-04-03 06:02:36,3500.0
41,VUWZ891M7I57EB,344303671677311,emoney,"R. Mila Wahyuni, S.Sos",Female,2006,17,Teenager,R1A,Pantai Maju - Kota,BRT,1.0,3.64,17,0.68,Monday,True,Jln. BB Utara,-6.120279,106.79409,12,2023-04-03 06:50:06,Centro Metro Broadway,-6.116362,106.76143,29,2023-04-03 07:30:53,3500.0
43,AQPU510X2X44PT,4017802962833960,dki,Aurora Hasanah,Female,1990,33,Adult,M11,Pulo Gebang - Pulo Gadung 2,BRT,0.0,0.98,1,0.467,Monday,True,Kampung Sumur,-6.214412,106.91189,6,2023-04-03 06:02:30,Flyover Klender,-6.213596,106.90306,7,2023-04-03 06:30:30,3500.0
45,MMEX885R3T18QL,347394043585982,emoney,Darmaji Wahyuni,Female,2003,20,Young Adult,9N,Pinang Ranti - Pramuka,BRT,0.0,3.79,1,0.834,Monday,True,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-03 05:49:25,BKN,-6.257751,106.87,2,2023-04-03 06:39:28,3500.0
48,ELVU605Z3W26IF,2718070346782735,dki,Asman Uyainah,Female,2005,18,Young Adult,2,Pulo Gadung - Monas,BRT,0.0,3.38,9,0.71,Monday,True,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 06:35:17,Pecenongan,-6.16771,106.82819,18,2023-04-03 07:17:52,3500.0
49,KPDA909R2T72GD,342531623551844,emoney,Zulaikha Yulianti,Female,1991,32,Adult,13,Ciledug - Tendean,BRT,1.0,1.43,2,0.404,Monday,True,CSW 1,-6.23994,106.79843,3,2023-04-03 05:51:57,Velbak,-6.239433,106.78552,5,2023-04-03 06:16:13,3500.0
52,PKAM574R5S22UG,566171543168,flazz,Laila Simanjuntak,Female,1992,31,Adult,11,Pulo Gebang - Matraman,BRT,1.0,0.45,1,0.82,Monday,True,Pasar Enjo,-6.214881,106.87819,3,2023-04-03 05:13:45,Imigrasi Jakarta Timur,-6.214632,106.88227,4,2023-04-03 06:02:58,3500.0
54,SRIX686S0S08SW,3527853482331808,dki,Puti Paris Marpaung,Male,2003,20,Young Adult,13B,Puri Beta - Pancoran Barat,BRT,1.0,2.52,4,0.932,Monday,True,Kebayoran Lama,-6.23834,106.77752,8,2023-04-03 06:33:41,JORR,-6.236104,106.75488,12,2023-04-03 07:29:36,3500.0
58,OPNL705D9K64FN,340065298083181,emoney,Tgk. Garda Utami,Female,2010,13,Teenager,M7,Kampung Rambutan - Monas,BRT,0.0,6.02,10,0.554,Monday,True,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,2023-04-03 05:43:23,Bundaran HI,-6.193021,106.823,24,2023-04-03 06:16:38,3500.0
63,MQCN972F9X71NY,180057903365395,emoney,Daryani Prabowo,Male,1989,34,Adult,1,Blok M - Kota,BRT,1.0,3.57,5,0.846,Monday,True,Karet Sudirman,-6.212457,106.82003,14,2023-04-03 06:20:11,Masjid Agung,-6.236483,106.79845,19,2023-04-03 07:10:56,3500.0
64,KINJ335N6L86YT,3551174827324245,dki,Gangsa Widodo,Male,1966,57,Adult,3A,Rusun Pesakih - Kalideres,BRT,1.0,1.06,2,0.404,Monday,True,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-03 06:38:56,Rusun Pesakih,-6.161468,106.71698,4,2023-04-03 07:03:11,3500.0
66,TFRA396G6W78PD,3569562588766630,dki,"dr. Sakura Budiman, S.IP",Male,1972,51,Adult,3C,Rusun Kapuk Muara - Penjaringan,BRT,1.0,3.38,1,0.919,Monday,True,Penjaringan,-6.126306,106.79203,0,2023-04-03 06:16:29,Rusun Kapuk Muara,-6.135667,106.76299,1,2023-04-03 07:11:37,3500.0
67,GXOP506G9B61EP,180016859215889,emoney,"Zalindra Irawan, M.TI.",Male,1992,31,Adult,M8,Lebak Bulus - Pasar Baru,BRT,0.0,3.3,2,0.476,Monday,False,Tanah Kusir Kodim,-6.256997,106.78168,20,2023-04-03 05:19:06,Pondok Indah 1,-6.286761,106.77999,22,2023-04-03 05:47:40,3500.0
68,XESL868N6A66XN,373945281501952,emoney,"Jamal Pudjiastuti, S.I.Kom",Female,1981,42,Adult,B21,Bekasi Timur - Cawang,BRT,1.0,0.73,3,0.921,Monday,False,Masjid Amar Maruf 2,-6.255062,107.02206,7,2023-04-03 05:02:15,Taman Margahayu 2,-6.24846,107.02153,10,2023-04-03 05:57:31,3500.0
73,UCMI767D7M79GS,4766007569419196,dki,"Danu Suartini, S.Farm",Male,2010,13,Teenager,3,Kalideres - Bundaran HI via Veteran,BRT,1.0,12.03,12,0.523,Monday,True,Sumur Bor,-6.153046,106.71929,2,2023-04-03 06:49:46,Bank Indonesia Arah Selatan,-6.184784,106.82326,14,2023-04-03 07:21:09,3500.0
75,WHTZ386I9S44YF,587887634588,flazz,Drs. Harjo Nurdiyanti,Male,1986,37,Adult,14,Jakarta International Stadium - Senen,BRT,0.0,3.2,8,0.422,Monday,True,Danau Agung 1,-6.147281,106.8582,8,2023-04-03 06:42:45,Honda Letjen Suprapto,-6.174933,106.84973,16,2023-04-03 07:08:03,3500.0
79,JUNS207R4F95UA,180022972730457,emoney,"Tgk. Tania Zulaika, M.Pd",Female,2010,13,Teenager,M10,PGC 2 - Tanjung Priok,BRT,1.0,8.32,8,0.799,Monday,True,Permai Koja Arah Selatan,-6.114359,106.89314,2,2023-04-03 05:59:19,Kayu Putih Rawasari,-6.187453,106.87542,10,2023-04-03 06:47:17,3500.0
80,LFIW578V8Y12XO,2237440645700724,dki,Latika Sirait,Male,1953,70,Senior Adult,10D,Kampung Rambutan - Tanjung Priok,BRT,1.0,5.41,4,0.418,Monday,True,Cempaka Putih,-6.174207,106.87642,9,2023-04-03 06:03:33,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13,2023-04-03 06:28:37,3500.0
82,QRFR658M6P01AH,4730280883020443501,brizzi,Zamira Puspita,Male,1977,46,Adult,B11,Summarecon Bekasi - BNN,BRT,0.0,7.64,1,0.545,Monday,True,Jatibening 1,-6.257161,106.94651,5,2023-04-03 06:08:56,Cawang Blue Bird,-6.248836,106.87801,6,2023-04-03 06:41:37,3500.0
86,BUQT197K3D65PN,4000041838802,online,Diah Marpaung,Male,2012,11,Children,11M,Rusun Rawa Bebek - Bukit Duri,BRT,0.0,1.04,1,0.918,Monday,True,Penggilingan,-6.214132,106.93961,2,2023-04-03 05:32:18,Perumnas Klender,-6.216689,106.93054,3,2023-04-03 06:27:22,3500.0
88,RHCN069U6G42WD,30583455954585,bni,Bahuwirya Rahayu,Male,1981,42,Adult,2F,Rusun Cakung Barat - Pulo Gadung,BRT,1.0,2.62,7,0.858,Monday,True,Jln. Anggrek Raya,-6.205168,106.9229,8,2023-04-03 05:13:09,PTC Pulo Gadung,-6.182622,106.91561,15,2023-04-03 06:04:38,3500.0
89,QMHC825R0K38KM,3537543297101185,dki,Samsul Ramadan,Male,1966,57,Adult,M11,Pulo Gebang - Pulo Gadung 2,BRT,1.0,5.17,7,0.477,Monday,True,Pasar Pulo Gadung,-6.187434,106.90591,0,2023-04-03 06:23:36,Walikota Jakarta Timur,-6.21254,106.94537,7,2023-04-03 06:52:14,3500.0
90,WGRY331M3O87VE,2720484776954605,dki,Bancar Irawan,Male,1999,24,Young Adult,3B,Rusun Flamboyan - Cengkareng,BRT,0.0,0.3,2,0.937,Monday,True,RSUD Boulevard Raya,-6.13781,106.7304,4,2023-04-03 06:50:15,Mall Taman Palem 3,-6.140548,106.73011,6,2023-04-03 07:46:28,3500.0
92,ELFD362R2U94NT,2291402671071407,dki,Puspa Saptono,Female,1984,39,Adult,2,Pulo Gadung - Monas,BRT,0.0,6.46,11,0.745,Monday,True,Bermis,-6.178203,106.89859,1,2023-04-03 05:20:00,Atrium,-6.176251,106.84023,12,2023-04-03 06:04:41,3500.0
94,ZGJG301G9Z71AR,180020791350481,emoney,T. Karna Sihombing,Female,2001,22,Young Adult,5D,PGC 1 - Ancol,BRT,0.0,3.23,6,0.668,Monday,True,Matraman Baru,-6.21288,106.86115,7,2023-04-03 05:28:25,Kramat Sentiong,-6.18798,106.84595,13,2023-04-03 06:08:29,3500.0
97,KFYK655N1H73XS,6590854673757012,dki,Bajragin Najmudin,Male,1986,37,Adult,3H,Jelambar - Kota,BRT,0.0,4.59,9,0.529,Monday,True,Jelambar,-6.166548,106.78651,0,2023-04-03 06:03:19,Museum Fatahillah,-6.13393,106.81209,9,2023-04-03 06:35:04,3500.0
98,WTBE175B2A58NC,4963710913075879668,brizzi,Ophelia Firmansyah,Male,2000,23,Young Adult,14,Jakarta International Stadium - Senen,BRT,0.0,0.44,1,0.903,Monday,True,Sekolah Penabur Gunung Sahari,-6.170053,106.84024,20,2023-04-03 06:00:02,Term. Senen,-6.17356,106.84213,21,2023-04-03 06:54:13,3500.0
107,BNNJ428H8B05IR,30276672399789,bni,"Teguh Wijaya, S.Pt",Female,1981,42,Adult,5C,PGC - Juanda,BRT,0.0,2.51,5,0.522,Monday,True,Tegalan,-6.203101,106.85715,10,2023-04-03 06:56:00,Pal Putih,-6.184631,106.84402,15,2023-04-03 07:27:18,3500.0
109,CILM584S6W21DC,2679374058097150,dki,"Dina Zulkarnain, M.M.",Male,1991,32,Adult,B11,Summarecon Bekasi - BNN,BRT,0.0,12.78,5,0.655,Monday,True,RS Mitra Keluarga 1,-6.240672,106.99317,1,2023-04-03 05:55:32,Cawang Blue Bird,-6.248836,106.87801,6,2023-04-03 06:34:50,3500.0
111,SLIM980A3X96XT,4547245090487583462,brizzi,Padmi Marpaung,Female,1992,31,Adult,4E,Rusun Jatinegara Kaum - Pulo Gadung,BRT,0.0,0.83,5,0.66,Monday,True,Masjid Jami Al Makmur Klender,-6.212322,106.90082,2,2023-04-03 06:08:46,Transjakarta Pool Klender,-6.205191,106.90301,7,2023-04-03 06:48:21,3500.0
113,MHRF005V2N53OQ,3528988342978833,dki,Narji Waskita,Male,1985,38,Adult,JIS3,Harmoni - Jakarta International Stadium,BRT,1.0,1.1,2,0.809,Monday,True,Simpang Danau Sunter Utara Barat,-6.139853,106.85663,11,2023-04-03 06:55:00,Jembatan Item,-6.130078,106.85492,13,2023-04-03 07:43:33,3500.0
115,AVMF680H1S53KJ,345353368043961,emoney,Ir. Salwa Yuniar,Female,2005,18,Young Adult,2H,Rusun Jati Rawasari - Senen,BRT,1.0,0.48,1,0.841,Monday,True,Sbr. SDN Johar Baru 10,-6.181178,106.86028,13,2023-04-03 06:49:20,Rusun Jati Rawasari,-6.183517,106.86389,14,2023-04-03 07:39:46,3500.0
125,KZGL815X5W31IV,4375765946745400,dki,Ghaliyati Prayoga,Female,1987,36,Adult,5D,PGC 1 - Ancol,BRT,0.0,0.91,1,0.407,Monday,False,Cawang Otista,-6.243607,106.86876,4,2023-04-03 05:16:55,Gelanggang Remaja,-6.235445,106.86795,5,2023-04-03 05:41:19,3500.0
127,UDDP570L6N53QS,344423213182214,emoney,dr. Gasti Budiyanto,Male,1998,25,Adult,5C,PGC - Juanda,BRT,0.0,2.73,5,0.536,Monday,False,Matraman 1,-6.19998,106.85443,11,2023-04-03 05:22:34,Kwitang,-6.181051,106.83866,16,2023-04-03 05:54:42,3500.0
129,NQKI710A7B46OS,3508055251895822,dki,Jasmani Sirait,Male,1975,48,Adult,L13E,Puri Beta - Kuningan (Express),BRT,0.0,1.22,2,0.909,Monday,True,Kuningan Madya,-6.21341,106.8305,10,2023-04-03 06:08:43,Latuharhary,-6.202761,106.82771,12,2023-04-03 07:03:17,3500.0
133,XAYZ349R8U03QO,30158257275842,bni,R. Yani Ardianto,Female,1984,39,Adult,9N,Pinang Ranti - Pramuka,BRT,0.0,3.79,1,0.846,Monday,True,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-03 06:27:52,BKN,-6.257751,106.87,2,2023-04-03 07:18:37,3500.0
137,AVII375J2K62NB,4966489323202,online,Eka Yolanda,Male,1998,25,Adult,B21,Bekasi Timur - Cawang,BRT,1.0,0.28,1,0.396,Monday,False,Superindo Bulak Kapal 2,-6.249488,107.02384,9,2023-04-03 05:34:50,Taman Margahayu 2,-6.24846,107.02153,10,2023-04-03 05:58:34,3500.0
138,VIIH700Y7Q03PL,3565938568828570,dki,Oliva Saefullah,Female,1987,36,Adult,12C,Rusun Waduk Pluit - Penjaringan,BRT,0.0,0.8,4,0.512,Monday,True,SPBU Gedong Panjang,-6.130757,106.80557,6,2023-04-03 06:49:19,Kel. Penjaringan,-6.125396,106.80071,10,2023-04-03 07:20:02,3500.0
139,ZULU908O5C48ME,2407683922581481,dki,Irfan Damanik,Male,1993,30,Adult,14,Jakarta International Stadium - Senen,BRT,1.0,0.39,1,0.588,Monday,True,Jembatan Item,-6.130078,106.85492,13,2023-04-03 06:15:59,JIS,-6.126689,106.85587,14,2023-04-03 06:51:15,3500.0
140,NVJR689V9Y19TT,676368577380,flazz,"Tgk. Puput Hartati, S.Psi",Female,1982,41,Adult,2F,Rusun Cakung Barat - Pulo Gadung,BRT,1.0,3.23,13,0.986,Monday,True,Rusun Cakung Barat Albo,-6.16751,106.93243,0,2023-04-03 05:52:16,Pulo Jaya,-6.194979,106.92242,13,2023-04-03 06:51:25,3500.0
141,BYPO952B8M23LM,2484941381862990,dki,"Tgk. Joko Maryadi, M.Ak",Male,1981,42,Adult,13C,Puri Beta - Dukuh Atas,BRT,0.0,2.84,3,0.434,Monday,True,Mayestik,-6.241921,106.79077,8,2023-04-03 05:59:53,Rawa Barat,-6.238947,106.81624,11,2023-04-03 06:25:55,3500.0
142,UMNC719B6F52LL,30100687125098,bni,"Galak Budiman, S.Pt",Female,2008,15,Teenager,1,Blok M - Kota,BRT,0.0,4.6,7,0.993,Monday,True,Bendungan Hilir,-6.217137,106.81528,6,2023-04-03 05:05:42,Monas,-6.176248,106.82286,13,2023-04-03 06:05:17,3500.0
149,OVAQ760H7C61IE,4946777822784,online,Wirda Yuliarti,Male,1990,33,Adult,5,Matraman Baru - Ancol,BRT,0.0,5.2,8,0.554,Monday,False,Slamet Riyadi,-6.208533,106.85929,1,2023-04-03 05:00:14,Budi Utomo,-6.166063,106.83906,9,2023-04-03 05:33:29,3500.0
150,TFBA876H9L48DY,3575787320226609,dki,"KH. Argono Nashiruddin, S.Gz",Male,1988,35,Adult,11N,Rusun Cipinang Muara - Jatinegara,BRT,0.0,0.1,1,0.54,Monday,False,Jln. Bekasi Timur VI,-6.214956,106.87866,9,2023-04-03 05:06:44,Ps. Enjo 1,-6.215023,106.87779,10,2023-04-03 05:39:08,3500.0
152,FZGD727V6X43JZ,3507107976417837,dki,Gatra Rahayu,Male,1946,77,Senior Adult,6V,Ragunan - Gelora Bung Karno,BRT,0.0,3.61,5,0.577,Monday,False,Duren Tiga,-6.252377,106.82697,8,2023-04-03 05:14:27,Masjid Agung,-6.236483,106.79845,13,2023-04-03 05:49:04,3500.0
153,DKJG081O7Q37WJ,4203562511038947968,brizzi,drg. Tantri Situmorang,Female,1983,40,Adult,12,Tanjung Priok - Pluit,BRT,1.0,7.17,10,0.812,Monday,True,Gunung Sahari Mangga Dua,-6.136817,106.83237,8,2023-04-03 06:27:08,Permai Koja Arah Utara,-6.11413,106.89309,18,2023-04-03 07:15:51,3500.0
155,VOOO363I4Q70OI,180009851731375,emoney,Elvina Hardiansyah,Female,1991,32,Adult,2E,Rusun Rawa Bebek - Kodamar,BRT,1.0,6.83,19,0.645,Monday,True,Kelapa Gading Utama,-6.176481,106.89487,4,2023-04-03 06:19:33,Walikota Jakarta Timur 1,-6.212327,106.94515,23,2023-04-03 06:58:14,3500.0
159,BKKY164U1O32AK,4974804949914047,dki,Gangsar Siregar,Male,1996,27,Adult,2A,Pulo Gadung - Rawa Buaya via Balai Kota,BRT,1.0,2.03,2,0.36,Monday,True,Pulo Mas,-6.174736,106.89277,22,2023-04-03 06:11:34,Pulo Gadung 1,-6.183239,106.90907,24,2023-04-03 06:33:09,3500.0
162,FDNY628B9V97MV,4122123545871,online,"Cahyono Firmansyah, S.Pd",Male,1992,31,Adult,M10,PGC 2 - Tanjung Priok,BRT,1.0,3.55,5,0.744,Monday,False,Cipinang Kebon Nanas,-6.231659,106.87637,16,2023-04-03 05:13:57,PGC 2,-6.2619,106.8657,21,2023-04-03 05:58:35,3500.0
165,ZSFB694B8Z63VI,4941966320527194737,brizzi,Widya Nuraini,Female,1994,29,Adult,3,Kalideres - Bundaran HI via Veteran,BRT,1.0,7.94,8,0.531,Monday,True,Sumur Bor,-6.153046,106.71929,2,2023-04-03 06:15:16,Grogol 1,-6.166824,106.78971,10,2023-04-03 06:47:07,3500.0
166,TSLR223W4W45OA,370311431463416,emoney,Putu Sihombing,Male,1995,28,Adult,8A,Jelambar - Juanda,BRT,0.0,1.55,2,0.498,Monday,True,Petojo,-6.169984,106.81698,5,2023-04-03 06:54:07,Juanda,-6.168048,106.83089,7,2023-04-03 07:24:01,3500.0
168,MGKL991J8F92EL,4719371541269014,dki,Nasab Megantara,Female,1997,26,Adult,3A,Rusun Pesakih - Kalideres,BRT,1.0,0.45,2,0.626,Monday,True,Kalideres 1,-6.154249,106.70544,0,2023-04-03 06:43:00,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-03 07:20:34,3500.0
169,IWEH403G6J82OS,30428250357040,bni,Estiawan Hastuti,Male,2008,15,Teenager,M7B,BKN - Blok M,BRT,1.0,2.69,12,0.798,Monday,True,Lapangan Blok S,-6.237011,106.81421,6,2023-04-03 05:20:08,Dammara,-6.25419,106.83146,18,2023-04-03 06:08:02,3500.0
170,RNAS183Z1Z12QM,340631865010459,emoney,Elisa Samosir,Female,1996,27,Adult,5D,PGC 1 - Ancol,BRT,1.0,1.87,3,0.639,Monday,True,BNN LRT,-6.245863,106.871143,19,2023-04-03 06:12:55,PGC 2,-6.2619,106.8657,22,2023-04-03 06:51:17,3500.0
173,YMGM222A1P05IS,6011737385609178,dki,Darimin Mardhiyah,Female,1981,42,Adult,2E,Rusun Rawa Bebek - Kodamar,BRT,0.0,0.29,3,0.371,Monday,True,Pengadilan Negeri Jaktim 2,-6.212604,106.94082,3,2023-04-03 05:47:44,Simpang Tiga 1,-6.210708,106.93903,6,2023-04-03 06:10:01,3500.0
174,NPIQ538R0G28HS,4948977213350,online,Balapati Gunarto,Male,1977,46,Adult,9F,Rusun Tambora - Pluit,BRT,0.0,3.06,3,0.788,Monday,True,Jembatan Dua,-6.143279,106.79352,5,2023-04-03 05:49:11,Pluit,-6.115795,106.79037,8,2023-04-03 06:36:27,3500.0
176,KAGY982E0G63WU,6542837703080439,dki,Aurora Nasyiah,Male,1991,32,Adult,M4,Pulo Gadung 2 - Dukuh Atas 2,BRT,1.0,7.22,10,0.797,Monday,True,Velodrome,-6.193468,106.8883,5,2023-04-03 06:32:33,Dukuh Atas 2,-6.203276,106.82377,15,2023-04-03 07:20:23,3500.0
178,KLGQ685S6S27LR,565431772831,flazz,"Azalea Setiawan, S.E.",Female,2007,16,Teenager,10D,Kampung Rambutan - Tanjung Priok,BRT,0.0,13.28,5,0.413,Monday,True,Cempaka Putih,-6.174207,106.87642,8,2023-04-03 05:36:19,Pasar Induk Kramat Jati,-6.294215,106.87203,13,2023-04-03 06:01:06,3500.0
179,FTGZ177C9F39DV,3548815673143131,dki,"Dr. Luthfi Sihombing, M.TI.",Female,1998,25,Adult,13D,Puri Beta - Ragunan,BRT,1.0,5.69,8,0.559,Monday,True,Duren Tiga,-6.252377,106.82697,8,2023-04-03 06:54:42,Kebayoran Lama,-6.23834,106.77752,16,2023-04-03 07:28:16,3500.0
182,OQPW261C9P13AZ,213127195148501,emoney,Viktor Zulkarnain,Male,1987,36,Adult,JIS3,Harmoni - Jakarta International Stadium,BRT,1.0,4.71,6,0.857,Monday,True,Pecenongan,-6.16771,106.82819,6,2023-04-03 05:53:21,Sunter Icon,-6.135417,106.85589,12,2023-04-03 06:44:46,3500.0
187,QKHF317K0M20FY,6581936160714795,dki,Puti Siregar,Male,1976,47,Adult,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,BRT,0.0,1.35,5,0.552,Monday,True,Rusun Pondok Bambu,-6.241583,106.91085,0,2023-04-03 06:07:52,Masjid Jami Al Barkah 1,-6.229411,106.91212,5,2023-04-03 06:40:59,3500.0
190,QWZD161N6O38NX,30164080918459,bni,Daliono Adriansyah,Female,2012,11,Children,12,Tanjung Priok - Pluit,BRT,0.0,1.61,2,0.941,Monday,True,Mangga Dua,-6.136148,106.82597,13,2023-04-03 06:27:11,Kali Besar Barat,-6.135355,106.81143,15,2023-04-03 07:23:37,3500.0
197,CGLW420M1F93GK,2720556419423963,dki,Devi Pangestu,Male,1994,29,Adult,3C,Rusun Kapuk Muara - Penjaringan,BRT,0.0,3.38,1,0.445,Monday,False,Rusun Kapuk Muara,-6.135667,106.76299,0,2023-04-03 05:11:54,Penjaringan,-6.126306,106.79203,1,2023-04-03 05:38:37,3500.0
